trial,algorithm,generation,fitness,score,seed
1,dodo,1,132.0,0.08,7731861993729057936
1,dodo,2,138.0,0.08,7731861993729057936
1,dodo,3,171.0,0.1,7731861993729057936
1,dodo,4,191.0,0.15,7731861993729057936
1,dodo,5,198.0,0.15,7731861993729057936
